"","dyad.merge","conttype"
"639","031042_1974",4
"640","031042_1975",4
"641","031042_1976",4
"642","031042_1977",4
"643","031042_1978",4
"644","031042_1979",4
"645","031042_1980",4
"646","031042_1981",4
"647","031042_1982",4
"648","031042_1983",4
"649","031042_1984",4
"650","031042_1985",4
"651","031042_1986",4
"652","031042_1987",4
"653","031042_1988",4
"654","031042_1989",4
"655","031042_1990",4
"656","031042_1991",4
"657","031042_1992",4
"658","031042_1993",4
"659","031042_1994",4
"660","031042_1995",4
"661","031042_1996",4
"662","031042_1997",4
"663","031042_1998",4
"664","031042_1999",4
"665","031042_2000",4
"666","031042_2001",4
"667","031042_2002",4
"668","031042_2003",4
"669","031042_2004",4
"670","031042_2005",4
"671","031042_2006",4
"672","031051_1973",5
"673","031051_1974",5
"674","031051_1975",5
"675","031051_1976",5
"676","031051_1977",5
"677","031051_1978",5
"678","031051_1979",5
"679","031051_1980",5
"680","031051_1981",5
"681","031051_1982",5
"682","031051_1983",5
"683","031051_1984",5
"684","031051_1985",5
"685","031051_1986",5
"686","031051_1987",5
"687","031051_1988",5
"688","031051_1989",5
"689","031051_1990",5
"690","031051_1991",5
"691","031051_1992",5
"692","031051_1993",5
"693","031051_1994",5
"694","031051_1995",5
"695","031051_1996",5
"696","031051_1997",5
"697","031051_1998",5
"698","031051_1999",5
"699","031051_2000",5
"700","031051_2001",5
"701","031051_2002",5
"702","031051_2003",5
"703","031051_2004",5
"704","031051_2005",5
"705","031051_2006",5
"706","040002_1902",4
"707","040002_1903",4
"708","040002_1904",4
"709","040002_1905",4
"710","040002_1906",4
"711","040002_1909",4
"712","040002_1910",4
"713","040002_1911",4
"714","040002_1912",4
"715","040002_1913",4
"716","040002_1914",4
"717","040002_1915",4
"718","040002_1916",4
"719","040002_1917",4
"720","040002_1918",4
"721","040002_1919",4
"722","040002_1920",4
"723","040002_1921",4
"724","040002_1922",4
"725","040002_1923",4
"726","040002_1924",4
"727","040002_1925",4
"728","040002_1926",4
"729","040002_1927",4
"730","040002_1928",4
"731","040002_1929",4
"732","040002_1930",4
"733","040002_1931",4
"734","040002_1932",4
"735","040002_1933",4
"736","040002_1934",4
"737","040002_1935",4
"738","040002_1936",4
"739","040002_1937",4
"740","040002_1938",4
"741","040002_1939",4
"742","040002_1940",4
"743","040002_1941",4
"744","040002_1942",4
"745","040002_1943",4
"746","040002_1944",4
"747","040002_1945",4
"748","040002_1946",4
"749","040002_1947",4
"750","040002_1948",4
"751","040002_1949",4
"752","040002_1950",4
"753","040002_1951",4
"754","040002_1952",4
"755","040002_1953",4
"756","040002_1954",4
"757","040002_1955",4
"758","040002_1956",4
"759","040002_1957",4
"760","040002_1958",4
"761","040002_1959",4
"762","040002_1960",4
"763","040002_1961",4
"764","040002_1962",4
"765","040002_1963",4
"766","040002_1964",4
"767","040002_1965",4
"768","040002_1966",4
"769","040002_1967",4
"770","040002_1968",4
"771","040002_1969",4
"772","040002_1970",4
"773","040002_1971",4
"774","040002_1972",4
"775","040002_1973",4
"776","040002_1974",4
"777","040002_1975",4
"778","040002_1976",4
"779","040002_1977",4
"780","040002_1978",4
"781","040002_1979",4
