region,claimdy,claim,name,dyadnum,chal,tgt,dyad,begclaim,endclaim,resolved,endviol,icowsal,icowsalc,salchal,saltgt,saltan,salint,salintc,salintt,midsiss,midsfat,warsiss,version
5,87704,877,"Western Xinjiang",4,710,365,365710,196402,199112,5,0,12,3,6,6,6,6,3,3,1,0,0,1.01
5,87705,877,"Sarykol Range",5,710,702,702710,199112,200199,-9,-9,10,3,5,5,4,6,3,3,0,0,0,1.01
5,87706,877,"Uzengi-Kuush",6,710,703,703710,199112,199908,4,0,10,3,5,5,4,6,3,3,0,0,0,1.01
5,87707,877,"Chogan-Obo Valley & Bay-Murza Passes",7,710,705,705710,199112,199807,4,0,10,3,5,5,4,6,3,3,0,0,0,1.01
5,88001,880,"Sokh Enclave Corridor",1,704,703,703704,199810,200199,-9,-9,9,3,4,5,4,5,2,3,1,0,0,1.01
5,88201,882,"Kyrgyzstan/Kazakhstan Border",1,705,703,703705,199112,200199,-9,-9,11,3,5,6,6,5,2,3,0,0,0,1.01
5,88601,886,"Bagys & Turkestan",1,704,705,704705,199911,200199,-9,-9,9,3,4,5,4,5,2,3,0,0,0,1.01
5,90001,900,"Hashtadan",1,200,630,200630,188804,188907,9,0,2,1,0,2,0,2,0,2,0,0,0,1.01
5,90002,900,"Musa Abad",2,700,630,630700,191908,193505,12,0,7,2,3,4,2,5,2,3,1,0,0,1.01
5,90401,904,"Kuhak & Mashkil Valley",1,630,200,200630,187108,189512,4,0,4,1,2,2,2,2,1,1,0,0,0,1.01
5,90402,904,"Mirjaveh",2,200,630,200630,190201,190505,4,0,5,2,2,3,2,3,1,2,0,0,0,1.01
5,90801,908,"Pashtunistan (Durand Line)",1,200,365,200365,189301,192111,4,0,8,3,4,4,4,4,2,2,0,0,0,1.01
5,90802,908,"Pashtunistan (Durand Line)",2,700,770,700770,194708,200199,-9,-9,10,3,5,5,4,6,3,3,8,3,0,1.01
5,90901,909,"Gwadar",1,770,200,200770,194708,195809,4,0,7,2,4,3,4,3,2,1,0,0,0,1.01
5,91101,911,"Sikkim",1,710,200,200710,187308,189003,4,1,7,2,4,3,4,3,2,1,0,0,0,1.01
5,91102,911,"Sikkim",2,710,750,710750,195912,200199,-9,-9,8,3,4,4,4,4,2,2,5,2,0,1.01
5,91201,912,"Arunachal Pradesh",1,710,200,200710,186010,194708,5,0,11,3,6,5,6,5,3,2,0,0,0,1.01
5,91202,912,"Arunachal Pradesh",2,710,750,710750,194708,200199,-9,-9,12,3,6,6,6,6,3,3,6,3,1,1.01
5,91401,914,"Doklam-Sinchulumpa-Gieu",1,710,750,710750,196610,197109,5,0,7,2,3,4,4,3,1,2,0,0,0,1.01
5,91402,914,"Doklam-Sinchulumpa-Gieu",2,710,760,710760,197109,200199,-9,-9,5,2,2,3,2,3,1,2,0,0,0,1.01
5,91801,918,"Mt Everest & Border Regions",1,710,790,710790,195910,196110,4,0,7,2,3,4,4,3,1,2,2,2,0,1.01
5,92201,922,"Jammu & Kashmir",1,770,750,750770,194710,200199,-9,-9,9,3,4,5,4,5,2,3,29,19,4,1.01
5,92202,922,"Azad Kashmir & Northern Areas",2,750,770,750770,194901,200199,-9,-9,12,3,6,6,6,6,3,3,1,1,0,1.01
5,92203,922,"Trans-Karakoram Tract",3,710,770,710770,196105,196205,4,0,7,2,3,4,4,3,1,2,0,0,0,1.01
5,92204,922,"Aksai Chin & Eastern Ladakh",4,710,750,710750,195407,196211,7,1,7,2,3,4,4,3,1,2,6,1,1,1.01
5,92205,922,"Trans-Karakoram Tract & Aksai Chin",5,750,710,710750,196205,200199,-9,-9,8,3,4,4,4,4,2,2,2,0,0,1.01
5,92301,923,"Junagadh",1,750,770,750770,194708,194711,7,1,7,2,3,4,2,5,2,3,1,0,0,1.01
5,92302,923,"Junagadh",2,770,750,750770,194711,200199,-9,-9,8,3,4,4,2,6,3,3,0,0,0,1.01
5,92401,924,"Rann of Kutch",1,770,750,750770,194807,196802,12,1,7,2,3,4,2,5,2,3,3,3,1,1.01
5,92601,926,"Goa-Daman-Diu-Dadra-Nagar Haveli",1,750,235,235750,194801,196112,7,1,7,2,4,3,4,3,2,1,3,1,0,1.01
5,92602,926,"Goa-Daman-Diu-Dadra-Nagar Haveli",2,235,750,235750,195407,197409,4,0,8,3,3,5,4,4,1,3,0,0,0,1.01
5,92801,928,"Pondicherry-Chandernagore-Karukal-Yanam-Mahe",1,750,220,220750,194708,195410,4,0,6,2,3,3,4,2,1,1,0,0,0,1.01
5,93001,930,"Berubari Union & Bengali Enclaves",1,750,770,750770,194812,197112,5,0,7,2,3,4,2,5,2,3,4,4,0,1.01
5,93002,930,"Cooch Behar & Bengali Enclaves",2,770,750,750770,194812,197112,5,0,7,2,3,4,2,5,2,3,3,2,0,1.01
5,93003,930,"Muhurir Char & Bengali Enclaves",3,750,771,750771,197112,200199,-9,-9,7,2,3,4,2,5,2,3,1,0,0,1.01
5,93004,930,"Tin Bigha Corridor & Bengali Enclaves",4,771,750,750771,197112,200199,-9,-9,8,3,4,4,2,6,3,3,1,1,0,1.01
5,93201,932,"New Moore (South Talpatty) Island",1,771,750,750771,197904,200199,-9,-9,5,2,2,3,2,3,1,2,0,0,0,1.01
5,93401,934,"Kalapani",1,790,750,750790,199706,200199,-9,-9,8,3,4,4,4,4,2,2,0,0,0,1.01
5,93601,936,"Kachchativu",1,780,750,750780,194901,197406,4,0,5,2,2,3,2,3,1,2,0,0,0,1.01
5,94001,940,"Nam-Wan Tract",1,200,710,200710,188607,189702,4,0,6,2,2,4,4,2,0,2,0,0,0,1.01
5,94002,940,"Hpimaw-Gawlam-Kangfang Villages",2,200,710,200710,191101,191101,7,1,4,1,1,3,2,2,0,2,0,0,0,1.01
5,94003,940,"Wa State Border Regions",3,710,200,200710,193512,194106,4,0,7,2,4,3,4,3,2,1,0,0,0,1.01
5,94004,940,"Nam-Wan Tract",4,710,775,710775,194801,196010,4,0,8,3,4,4,4,4,2,2,1,1,0,1.01
5,94201,942,"Sino District Tract",1,710,812,710812,196001,199110,4,0,6,2,3,3,2,4,2,2,0,0,0,1.01
5,94401,944,"Pe-Lung-Wei",1,220,710,220710,187505,188706,4,0,4,1,1,3,2,2,0,2,3,1,1,1.01
5,94402,944,"Man Mei-Muong Neua-Neua Tay",2,220,710,220710,189201,189506,4,0,4,1,1,3,2,2,0,2,0,0,0,1.01
5,94403,944,"White Dragon Tail Island",3,710,816,710816,195508,195705,1,0,7,2,3,4,4,3,1,2,0,0,0,1.01
5,94404,944,"China-Vietnam Border Regions",4,710,816,710816,195701,199912,4,0,5,2,2,3,2,3,1,2,5,5,1,1.01
5,94501,945,"South Vietnam",1,816,817,816817,195508,197504,7,1,11,3,5,6,6,5,2,3,2,2,1,1.01
5,94601,946,"Paracel Islands",1,710,220,220710,193209,193904,11,0,6,2,3,3,4,2,1,1,0,0,0,1.01
5,94602,946,"Paracel Islands",2,740,220,220740,193807,193904,7,1,5,2,2,3,4,1,0,1,1,0,0,1.01
5,94603,946,"Paracel Islands",3,220,740,220740,193904,194211,6,0,6,2,3,3,4,2,1,1,0,0,0,1.01
5,94604,946,"Paracel Islands",4,220,740,220740,194408,194508,6,0,6,2,3,3,4,2,1,1,0,0,0,1.01
5,94605,946,"Paracel Islands",5,710,740,710740,193904,194508,6,0,6,2,3,3,4,2,1,1,0,0,0,1.01
5,94606,946,"Paracel Islands",6,710,220,220710,194611,195406,5,0,6,2,3,3,4,2,1,1,0,0,0,1.01
5,94607,946,"Paracel Islands",7,710,817,710817,195406,197402,7,1,7,2,3,4,4,3,1,2,3,1,0,1.01
