dispnum3,dispnum4,stday,stmon,styear,endday,endmon,endyear,outcome,settle,fatality,fatalpre,maxdur,mindur,hiact,hostlev,recip,numa,numb,link1,link2,link3,ongo2010,version
4317,-9,23,7,2001,NA,12,2001,8,4,0,0,161,131,12,3,1,1,1,0,0,0,0,gml-2.0
4318,-9,8,3,1995,23,2,1996,5,3,-9,-9,352,352,17,4,1,1,1,4319,4175,0,0,gml-2.0
4319,-9,15,12,1996,14,5,1997,5,3,2,-9,150,150,17,4,1,1,1,4318,4175,0,0,gml-2.0
4320,20201,2,11,2e3,13,5,2003,5,3,0,0,922,922,7,3,1,1,11,4193,4210,4233,0,gml-2.0
4321,-9,12,7,1998,17,7,1998,7,4,0,0,5,5,15,4,0,1,1,4238,4137,4335,0,gml-2.0
4322,-9,13,8,1999,16,8,1999,5,3,0,0,3,3,8,3,0,1,1,4225,4226,4087,0,gml-2.0
4323,-9,17,3,1997,3,4,1997,5,3,0,0,17,17,12,3,1,1,1,4193,4210,4233,0,gml-2.0
4324,-9,23,5,2e3,NA,1,2001,5,3,0,0,253,223,16,4,0,1,5,4206,4208,4325,0,gml-2.0
4325,50203,25,8,2001,25,7,2003,5,3,1,19,699,699,16,4,0,1,1,0,0,0,0,gml-2.0
4328,-9,NA,9,1998,NA,9,1998,5,3,0,0,29,-29,7,3,0,1,1,4329,4330,4331,0,gml-2.0
4329,-9,4,8,1998,4,8,1998,5,3,0,0,0,0,7,3,0,1,1,4328,4330,4331,0,gml-2.0
4330,-9,30,10,1999,30,10,1999,5,3,0,0,0,0,16,4,0,1,1,4329,4329,4331,0,gml-2.0
4331,-9,16,4,1994,28,4,1994,5,3,0,0,12,12,7,3,0,1,1,4329,4330,4328,0,gml-2.0
4332,-9,17,2,1994,17,2,1994,5,3,0,0,0,0,8,3,0,1,1,4101,4137,4186,0,gml-2.0
4333,-9,NA,1,1994,NA,1,1994,5,3,0,0,30,-30,16,4,0,2,1,0,0,0,0,gml-2.0
4334,-9,11,6,1999,11,6,1999,3,4,0,0,0,0,8,3,0,1,1,4137,0,0,0,gml-2.0
4335,-9,24,6,1999,24,6,1999,5,3,0,0,0,0,7,3,1,1,1,4238,4137,4321,0,gml-2.0
4337,-9,20,5,1997,NA,5,1997,8,4,0,0,11,-19,11,3,1,1,1,4290,4289,0,0,gml-2.0
4338,-9,19,3,1999,19,4,1999,7,3,0,0,31,31,15,4,0,1,1,4137,0,0,0,gml-2.0
4339,-9,2,8,1998,3,6,2001,5,1,6,-9,1036,1036,21,5,1,2,5,4122,0,0,0,gml-2.0
4340,-9,24,1,1993,20,2,1993,5,4,1,1,27,27,16,4,1,1,1,3555,4100,4230,0,gml-2.0
4341,-9,5,6,1993,1,3,1994,6,1,4,-9,269,269,17,4,1,1,1,3556,231,0,0,gml-2.0
4342,-9,8,4,1999,19,4,1999,5,4,0,0,11,11,8,3,0,1,13,4137,0,0,0,gml-2.0
4343,-9,24,11,2e3,28,11,2e3,4,4,0,0,4,4,7,3,0,1,38,4186,4137,4298,0,gml-2.0
4345,10201,6,1,2002,26,12,2002,5,3,-9,-9,354,354,16,4,0,1,1,0,0,0,0,gml-2.0
4346,10202,23,1,2002,4,2,2002,3,3,0,0,12,12,14,4,0,1,1,0,0,0,0,gml-2.0
4347,10203,25,1,2002,31,7,2002,5,3,-9,-9,187,187,16,4,0,1,1,0,0,0,0,gml-2.0
4348,10204,27,1,2002,3,6,2002,8,-9,0,0,127,127,15,4,1,1,1,0,0,0,0,gml-2.0
4349,10205,19,3,2002,18,10,2002,5,3,-9,-9,213,213,17,4,1,1,1,0,0,0,0,gml-2.0
4350,10206,1,7,2002,1,7,2002,5,3,1,1,0,0,16,4,0,1,1,0,0,0,0,gml-2.0
4351,10207,7,7,2002,7,7,2002,5,3,0,0,0,0,8,3,0,1,1,0,0,0,0,gml-2.0
4352,10208,11,7,2002,18,7,2002,2,2,0,0,7,7,14,4,1,1,1,0,0,0,0,gml-2.0
4353,10209,25,7,2002,25,7,2002,5,3,0,0,0,0,11,3,0,1,1,0,0,0,0,gml-2.0
4354,10210,26,8,2002,26,8,2002,5,3,0,0,0,0,1,2,0,1,1,0,0,0,0,gml-2.0
4355,10211,2,9,2002,5,9,2002,5,3,0,0,3,3,15,4,0,1,1,0,0,0,0,gml-2.0
4356,10212,4,9,2002,30,9,2003,5,3,0,0,391,391,14,4,1,1,2,10203,0,0,0,gml-2.0
4357,10213,30,10,2002,30,10,2002,5,3,0,0,0,0,16,4,0,1,1,0,0,0,0,gml-2.0
4358,10214,2,12,2002,22,1,2003,5,3,0,0,51,51,16,4,0,1,1,0,0,0,0,gml-2.0
4359,10215,12,12,2002,12,6,2003,5,3,0,0,182,182,14,4,0,1,1,0,0,0,0,gml-2.0
4360,10301,24,7,2003,29,7,2003,7,3,0,0,5,5,15,4,0,1,1,0,0,0,0,gml-2.0
4361,10302,4,10,2003,4,10,2003,5,3,0,0,0,0,12,3,0,1,1,0,0,0,0,gml-2.0
4362,10303,1,11,2003,27,11,2003,5,3,1,1,26,26,17,4,1,1,1,10211,0,0,0,gml-2.0
4363,10304,1,11,2003,1,11,2003,5,3,0,0,0,0,16,4,0,1,1,0,0,0,0,gml-2.0
4364,10305,26,12,2003,26,12,2003,5,3,0,0,0,0,8,3,0,1,1,0,0,0,0,gml-2.0
4365,10401,21,4,2004,21,4,2004,5,3,0,0,0,0,11,3,0,1,1,0,0,0,0,gml-2.0
4366,10402,24,4,2004,17,12,2004,5,3,0,0,237,237,16,4,1,2,1,10203,10212,0,0,gml-2.0
4367,10403,29,4,2004,30,7,2004,5,3,1,1,92,92,17,4,1,1,2,0,0,0,0,gml-2.0
4368,10404,3,6,2004,3,6,2004,5,3,0,0,0,0,8,3,0,1,1,10203,10212,0,0,gml-2.0
4369,10405,14,7,2004,14,7,2004,5,3,0,0,0,0,11,3,1,1,1,10304,0,0,0,gml-2.0
4370,10406,30,10,2004,30,4,2005,5,3,0,0,182,182,14,4,0,1,1,0,0,0,0,gml-2.0
4371,10407,6,11,2004,6,5,2005,5,3,1,9,181,181,17,4,1,1,2,0,0,0,0,gml-2.0
4372,10408,2,12,2004,4,12,2004,5,3,1,-9,2,2,17,4,1,1,1,10212,0,0,0,gml-2.0
4373,10501,4,1,2005,17,3,2005,5,3,0,0,72,72,11,3,0,1,1,0,0,0,0,gml-2.0
4374,10502,18,1,2005,7,3,2005,5,3,0,0,48,48,16,4,1,1,1,0,0,0,0,gml-2.0
4375,10503,17,2,2005,24,3,2005,5,3,0,0,35,35,11,3,1,1,1,10303,0,0,0,gml-2.0
4376,10504,13,3,2005,13,3,2005,5,3,0,0,0,0,11,3,0,1,1,10201,0,0,0,gml-2.0
4377,10505,23,3,2005,23,3,2005,5,3,0,0,0,0,11,3,0,1,1,0,0,0,0,gml-2.0
4378,10506,26,4,2005,26,4,2005,5,3,0,0,0,0,16,4,0,1,1,0,0,0,0,gml-2.0
4379,10507,17,6,2005,17,6,2005,5,3,0,0,0,0,16,4,0,1,1,0,0,0,0,gml-2.0
4380,10508,18,6,2005,18,6,2005,5,3,1,1,0,0,16,4,0,1,1,0,0,0,0,gml-2.0
4381,10509,29,9,2005,29,9,2005,5,3,0,0,0,0,4,2,0,1,1,0,0,0,0,gml-2.0
4382,10510,18,10,2005,18,10,2005,5,3,0,0,0,0,7,3,0,1,1,10407,0,0,0,gml-2.0
4383,10511,25,10,2005,25,10,2005,5,3,0,0,0,0,11,3,0,1,1,10503,0,0,0,gml-2.0
4384,10512,5,11,2005,17,8,2006,5,3,0,0,285,285,17,4,1,1,1,10403,0,0,0,gml-2.0
4385,10601,24,4,2006,27,4,2006,5,3,1,-9,3,3,17,4,1,1,1,0,0,0,0,gml-2.0
4386,10602,28,4,2006,28,4,2006,5,3,1,1,0,0,17,4,1,1,1,0,0,0,0,gml-2.0
4387,10603,18,6,2006,21,1,2007,5,3,0,0,217,217,14,4,0,1,1,10201,10504,0,0,gml-2.0
4388,10604,17,8,2006,17,8,2006,2,2,0,0,0,0,12,3,0,1,1,0,0,0,0,gml-2.0
4389,10605,16,10,2006,16,10,2006,5,3,0,0,0,0,11,3,0,1,1,10503,10511,0,0,gml-2.0
4390,10606,18,10,2006,9,4,2007,5,3,2,-9,173,173,17,4,1,1,1,10403,10509,0,0,gml-2.0
